Category,Genre,App_Count,Avg_Installs,Median_Installs,Total_Installs,Avg_Rating,Avg_Popularity_Score,Rank_in_Category
ART_AND_DESIGN,Art & Design,61,1856362.2950819673,100000.0,113238100,4.359322033898305,2.8813559322033897,1
ART_AND_DESIGN,Creativity,4,177500.0,100000.0,710000,4.375,2.75,2
AUTO_AND_VEHICLES,Auto & Vehicles,85,625061.305882353,100000.0,53130211,4.190410958904109,2.7534246575342465,1
BEAUTY,Beauty,53,513151.88679245283,50000.0,27197050,4.2785714285714285,2.738095238095238,1
BOOKS_AND_REFERENCE,Books & Reference,222,7504367.459459459,10000.0,1665969576,4.344970414201184,2.905325443786982,1
BUSINESS,Business,419,1651944.7852028639,1000.0,692164865,4.096564885496183,2.3091603053435112,1
COMICS,Comics,56,803234.8214285715,100000.0,44981150,4.181481481481482,2.7777777777777777,1
COMICS,Creativity,1,50000.0,50000.0,50000,4.8,3.0,2
COMMUNICATION,Communication,316,34934418.51582278,100000.0,11039276251,4.121400778210117,3.2762645914396886,1
DATING,Dating,170,828971.2176470588,10000.0,140925107,3.9804511278195487,2.4962406015037595,1
EDUCATION,Brain Games,2,3000000.0,3000000.0,6000000,4.45,4.5,1
EDUCATION,Creativity,2,3000000.0,3000000.0,6000000,4.300000000000001,4.0,1
EDUCATION,Education,107,1855728.0701754387,1000000.0,211553000,4.360176991150443,3.690265486725664,2
EDUCATION,Pretend Play,3,367000.0,100000.0,1101000,4.6000000000000005,3.0,3
ENTERTAINMENT,Entertainment,87,11375402.298850575,1000000.0,989660000,4.129885057471265,3.8735632183908044,1
ENTERTAINMENT,Brain Games,1,1000000.0,1000000.0,1000000,4.5,4.0,2
ENTERTAINMENT,Creativity,1,1000000.0,1000000.0,1000000,4.3,4.0,2
ENTERTAINMENT,Music & Video,3,533333.3333333334,500000.0,1600000,4.133333333333333,3.3333333333333335,3
EVENTS,Events,64,249580.640625,1000.0,15973161,4.435555555555555,2.2444444444444445,1
FAMILY,Adventure,7,16607142.857142856,1000000.0,116250000,4.314285714285714,3.857142857142857,1
FAMILY,Racing,17,7838823.529411765,10000000.0,133260000,4.3,4.117647058823529,2
FAMILY,Action & Adventure,96,7112567.71875,1000000.0,682806501,4.288297872340425,3.9468085106382977,3
FAMILY,Casual,202,6763434.3564356435,500000.0,1366213740,4.102061855670103,3.1649484536082473,4
FAMILY,Strategy,83,6138404.879518072,1000000.0,509487605,4.206329113924051,3.5822784810126582,5
FAMILY,Music & Video,21,6014333.333333333,1000000.0,126301000,4.223809523809524,3.9523809523809526,6
FAMILY,Card,2,5500000.0,5500000.0,11000000,4.3,4.5,7
FAMILY,Video Players & Editors,1,5000000.0,5000000.0,5000000,4.0,4.0,8
FAMILY,Entertainment,505,4297930.067326733,10000.0,2170454684,4.085301204819277,2.47710843373494,9
FAMILY,Pretend Play,65,4010956.923076923,1000000.0,260712200,4.225,3.328125,10
FAMILY,Action,11,3910954.5454545454,1000000.0,43020500,4.3,3.6363636363636362,11
FAMILY,Brain Games,58,3779381.0344827585,500000.0,219204100,4.36140350877193,3.473684210526316,12
FAMILY,Puzzle,118,3612600.093220339,100000.0,426286811,4.331313131313132,3.313131313131313,13
FAMILY,Music,3,3367000.0,100000.0,10101000,4.533333333333333,3.0,14
FAMILY,Arcade,15,3080666.7333333334,1000000.0,46210001,4.35,3.9285714285714284,15
FAMILY,Simulation,197,2914255.431472081,500000.0,574108320,4.146073298429319,3.2198952879581153,16
FAMILY,Role Playing,103,2818842.427184466,1000000.0,290340770,4.2555555555555555,3.393939393939394,17
FAMILY,Sports,4,2675000.0,300000.0,10700000,4.35,3.75,18
FAMILY,Creativity,24,2485650.0,1000000.0,59655600,4.282608695652174,3.782608695652174,19
FAMILY,Educational,102,2296087.901960784,100000.0,234200966,4.1000000000000005,3.064516129032258,20
FAMILY,Education,526,826221.672072072,5000.0,458553028,4.275266524520256,2.23454157782516,21
FAMILY,Health & Fitness,2,550000.0,550000.0,1100000,4.3,3.0,22
FAMILY,Communication,1,500000.0,500000.0,500000,4.2,3.0,23
FAMILY,Music & Audio,1,500000.0,500000.0,500000,4.3,4.0,23
FAMILY,Board,18,493733.3333333333,30000.0,8887200,4.316666666666666,2.4444444444444446,24
FAMILY,Art & Design,4,400000.0,500000.0,1600000,4.166666666666667,3.3333333333333335,25
FAMILY,Lifestyle,1,100000.0,100000.0,100000,4.3,3.0,26
FAMILY,Books & Reference,3,3700.0,1000.0,11100,4.2,1.5,27
FAMILY,Trivia,1,100.0,100.0,100,,,28
